model_id,mean_per_class_error,logloss,rmse,mse
XGBoost_1_AutoML_1_20250322_160353,0.1181982304578931,0.3439414159509076,0.3156991833122025,0.0996659743439916
GLM_1_AutoML_1_20250322_160353,0.1460613300333886,0.44614371903864,0.3638703798440574,0.1324016533278586
GBM_1_AutoML_1_20250322_160353,0.8961962227902627,2.302585092994047,0.9,0.81
