model_id,accuracy,precision,recall,f1_score
XGBoost_1_AutoML_1_20250322_160353,0.863,0.8622802113407281,0.863,0.8623203082651183
GLM_1_AutoML_1_20250322_160353,0.8373333333333334,0.8362821729231367,0.8373333333333334,0.8364119282985228
GBM_1_AutoML_1_20250322_160353,0.7633333333333333,0.7630127817365768,0.7633333333333333,0.7603255971776178
